,Company,Pages,Sustainability Report mention,first5sus,Annual Report mention,first5annual,exclusion,Year,bs_score,sustainability_score
458,13035,169,1,0,1,1,0,2020,1,0
459,12998,43,1,1,1,0,1,2020,2,0
460,3652,69,1,1,1,0,0,2020,2,0
461,3650,128,1,1,1,0,1,2020,2,0
462,17259,125,1,1,1,0,0,2020,2,0
463,409,69,1,1,0,0,0,2020,2,0
464,17021,450,0,0,1,0,0,2020,0,0
465,3647,240,1,1,1,0,0,2020,2,0
466,3649,119,1,1,1,1,0,2020,2,0
467,3640,55,0,0,0,0,0,2008,0,0
468,247,83,1,0,0,0,0,2020,0,0
469,12934,243,1,0,1,1,0,2020,1,0
470,3638,76,1,1,1,0,0,2020,2,0
471,17039,331,0,0,1,0,0,2017,0,0
472,17032,11,0,0,0,0,0,2020,0,0
473,3636,33,1,0,0,0,0,2020,0,0
474,3622,316,1,0,1,1,0,2020,1,0
475,3631,95,1,1,1,1,0,2020,2,0
476,3624,54,0,0,0,0,0,2020,0,0
477,3620,54,0,0,0,0,0,2020,0,0
478,12865,52,1,1,1,0,0,2021,2,0
479,3612,119,1,1,0,0,0,2020,2,0
480,244,304,1,1,1,0,1,2020,2,0
481,12863,15,1,1,1,1,1,2020,2,0
482,3608,209,1,0,1,1,0,2020,1,0
483,3610,153,1,1,0,0,0,2020,2,0
484,17028,14,0,0,0,0,0,2020,0,0
485,3604,38,0,0,1,1,0,2018,1,0
486,3601,56,0,0,1,0,0,2019,0,0
487,399,145,1,0,1,1,0,2021,1,0
488,12740,63,1,1,1,0,0,2020,2,0
489,12738,81,1,1,1,0,0,2019,2,0
490,12752,258,1,0,1,1,0,2020,1,0
491,3594,157,1,0,1,1,0,2020,1,0
492,397,231,1,0,1,1,0,2020,1,0
493,12719,34,1,1,0,0,0,2021,2,0
494,395,186,1,0,1,1,0,2020,1,0
495,396,289,1,1,1,0,0,2020,2,0
496,3587,346,0,0,1,1,0,2019,1,0
497,3586,65,0,0,1,1,0,2019,1,0
498,12694,240,1,1,1,1,0,2019,2,0
499,12698,87,1,1,1,0,0,2020,2,0
500,3579,235,1,0,1,1,0,2019,1,0
501,3581,258,1,0,1,1,0,2020,1,0
502,12700,67,1,1,1,0,0,2020,2,0
503,3574,81,0,0,0,0,0,2020,0,0
504,12679,83,1,1,1,0,0,2020,2,0
505,3576,412,1,1,1,0,0,2016,2,0
506,12670,229,1,0,1,1,0,2020,1,0
507,12659,69,1,1,1,0,0,2020,2,0
508,12665,342,0,0,1,0,0,2018,0,0
509,393,79,1,1,1,0,0,2020,2,0
510,392,74,1,1,1,1,0,2020,2,0
511,12598,166,1,1,1,0,1,2018,2,0
512,16953,40,1,1,1,1,0,2020,2,0
513,3568,38,0,0,0,0,0,2019,0,0
514,3570,2,0,0,1,1,0,2020,1,0
515,3569,328,1,0,0,0,0,2020,0,0
516,387,42,1,1,1,0,0,2020,2,0
517,3565,227,0,0,1,0,0,2020,0,0
518,3552,84,0,0,1,0,0,2021,0,0
519,3559,178,1,1,1,1,0,2020,2,0
520,12550,97,1,0,0,0,0,2020,0,0
521,3550,128,1,1,1,1,0,2020,2,0
522,3554,9,0,0,0,0,0,2020,0,0
523,382,62,1,1,1,0,0,2020,2,0
524,3543,224,1,0,1,1,0,2020,1,0
525,3541,235,1,0,0,0,0,2001,0,0
526,16904,41,0,0,0,0,0,2020,0,0
527,12469,142,1,1,1,1,0,2020,2,0
528,12465,34,1,1,1,0,0,2020,2,0
529,12486,8,1,1,0,0,0,2020,2,0
530,12489,9,1,0,1,1,1,2020,0,0
531,376,98,1,1,1,0,1,2020,2,0
532,12458,44,0,0,0,0,0,2020,0,0
533,12451,63,1,1,1,1,0,2020,2,0
534,3538,133,0,0,0,0,0,2015,0,0
535,3535,24,1,1,0,0,0,2020,2,0
536,277,55,1,1,1,1,0,2020,2,0
537,12441,13,1,0,0,0,1,2021,0,0
538,12442,47,1,1,1,1,0,2019,2,0
539,16908,38,0,0,0,0,0,2021,0,0
540,3528,554,1,1,1,0,0,2020,2,0
541,3524,79,1,1,1,0,0,2020,2,0
542,12439,41,1,1,0,0,0,2020,2,0
543,17044,11,0,0,0,0,0,2020,0,0
544,3521,70,1,0,1,1,0,2020,1,0
545,3517,90,1,1,1,0,0,2020,2,0
546,3519,170,1,0,1,1,0,2017,1,0
547,16954,287,0,0,0,0,0,2020,0,0
548,12355,18,1,0,0,0,1,2021,0,0
549,3516,228,1,1,1,0,0,2019,2,0
550,365,16,0,0,0,0,0,2001,0,0
551,3514,653,0,0,1,0,0,2016,0,0
552,12347,112,1,1,1,1,0,2019,2,0
553,3515,181,1,0,1,1,0,2019,1,0
554,12352,17,1,0,0,0,1,2020,0,0
555,3513,179,0,0,1,0,0,0,0,0
556,11,25,1,1,1,1,0,2019,2,0
557,3511,56,0,0,1,0,0,2021,0,0
558,3506,52,1,1,1,0,0,2020,2,0
559,12319,105,0,0,1,1,0,2020,1,0
560,3505,73,1,1,1,0,0,2019,2,0
561,3503,55,0,0,0,0,0,2020,0,0
562,3499,216,1,0,1,1,0,2017,1,0
563,231,142,1,1,0,0,0,2020,2,0
564,16919,116,1,1,1,0,0,2020,2,0
565,351,49,0,0,1,1,0,2020,1,0
566,3483,50,1,1,1,1,0,2020,2,0
567,12286,239,1,1,1,1,0,2020,2,0
568,3480,96,0,0,0,0,0,2021,0,0
569,12288,258,1,1,1,0,0,2020,2,0
570,3489,34,1,1,0,0,0,2020,2,0
571,3494,289,1,0,0,0,0,2020,0,0
572,3482,287,0,0,0,0,0,2020,0,0
573,3479,357,1,0,1,1,0,2020,1,0
574,3475,28,1,1,0,0,0,2020,2,0
575,3471,57,1,1,1,0,0,2020,2,0
576,3476,77,1,1,1,0,0,2019,2,0
577,3473,82,1,1,1,0,0,2019,2,0
578,3472,554,1,1,1,0,0,2020,2,0
579,3474,82,0,0,1,1,0,2020,1,0
580,12219,325,1,1,1,0,0,2020,2,0
581,3470,82,1,1,1,0,0,2020,2,0
582,12191,17,1,0,0,0,1,2020,0,0
583,228,70,1,1,1,1,0,2020,2,0
584,12186,15,1,1,1,1,1,2020,2,0
585,3466,50,0,0,1,1,0,2020,1,0
586,3465,17,1,0,1,1,0,2020,1,0
587,3459,141,0,0,1,1,0,2015,1,0
588,3458,144,0,0,1,1,0,2020,1,0
589,12088,52,1,1,1,0,0,2019,2,0
590,3454,153,1,0,1,0,0,2020,0,0
591,3452,143,0,0,1,1,0,2020,1,0
592,3448,39,0,0,0,0,0,2020,0,0
593,12083,141,1,1,1,1,0,2019,2,0
594,3441,131,0,0,0,0,0,2018,0,0
595,3443,131,0,0,0,0,0,2018,0,0
596,3445,102,1,1,1,1,1,2020,2,0
597,3438,26,1,1,0,0,0,2020,2,0
598,16917,11,1,1,0,0,1,2020,2,0
599,12011,350,1,1,1,1,0,2020,2,0
600,12012,3,0,0,0,0,0,2018,0,0
601,340,120,1,1,1,1,0,2020,2,0
602,16995,232,1,0,0,0,0,2020,0,0
603,11919,6,0,0,1,1,0,2020,1,0
604,3435,435,0,0,1,1,0,2019,1,0
605,11897,166,1,1,1,0,0,2020,2,0
606,3432,169,0,0,1,1,0,2020,1,0
607,3422,130,0,0,1,1,0,2020,1,0
608,3420,106,0,0,1,0,0,2019,0,0
609,11845,108,1,1,1,1,0,2020,2,0
610,3416,112,0,0,0,0,0,2020,0,0
611,11769,76,0,0,1,1,0,2020,1,0
612,330,254,1,0,1,1,0,2020,1,0
613,3413,31,1,1,1,1,0,2014,2,0
614,3409,64,0,0,1,1,0,2019,1,0
615,329,67,1,1,0,0,0,2020,2,0
616,3407,56,1,1,0,0,1,2020,2,0
617,3406,190,0,0,1,1,0,2019,1,0
618,3405,52,1,1,1,0,1,2020,2,0
619,328,20,1,1,1,0,0,2019,2,0
620,3404,258,1,0,1,1,0,2020,1,0
621,11716,77,1,1,1,0,0,2020,2,0
622,11714,79,1,1,1,0,0,2020,2,0
623,11702,64,1,1,1,0,0,2020,2,0
624,3402,95,1,0,0,0,0,2020,0,0
625,3398,18,1,0,0,0,0,2020,0,0
626,16994,26,1,1,1,0,0,2020,2,0
627,325,495,1,0,1,1,0,2020,1,0
628,11671,24,0,0,0,0,0,2020,0,0
629,3394,29,1,1,1,0,1,2020,2,0
630,3387,194,1,0,1,0,0,2018,0,0
631,323,24,1,1,0,0,0,2017,2,0
632,11643,22,1,0,0,0,0,2021,0,0
633,321,293,1,1,1,1,0,2020,2,0
634,3384,50,0,0,1,1,0,2020,1,0
635,3383,272,1,0,1,0,0,2020,0,0
636,195,53,1,0,1,1,0,2020,1,0
637,196,277,1,1,1,1,0,2020,2,0
638,3379,62,1,1,0,0,0,2016,2,0
639,3380,133,1,1,0,0,0,2020,2,0
640,11634,94,1,1,1,0,0,2019,2,0
641,3377,68,0,0,0,0,0,2020,0,0
642,319,233,1,1,1,1,1,2020,2,0
643,3370,27,1,1,1,1,0,2020,2,0
644,3371,56,1,1,0,0,1,2020,2,0
645,11631,44,1,1,0,0,0,2020,2,0
646,3367,37,0,0,0,0,0,2016,0,0
647,16914,61,1,1,1,0,0,2018,2,0
648,3363,591,0,0,1,0,0,2021,0,0
649,313,178,1,0,1,1,1,2019,0,0
650,3361,9,0,0,0,0,0,2009,0,0
651,3360,202,1,1,1,0,0,2020,2,0
652,3359,204,1,0,1,1,0,2020,1,0
653,307,162,0,0,1,1,0,2020,1,0
654,3356,208,1,0,1,1,0,2020,1,0
655,207,215,1,1,1,0,1,2020,2,0
656,3348,69,1,1,1,0,0,2019,2,0
657,3350,277,1,1,1,1,0,2019,2,0
658,16913,29,0,0,0,0,0,2017,0,0
659,11567,57,0,0,0,0,0,2020,0,0
660,3346,829,1,1,0,0,0,2010,2,0
661,3345,96,1,1,1,0,0,2014,2,0
662,303,110,1,0,1,1,0,2020,1,0
663,3342,92,0,0,0,0,0,2020,0,0
664,3343,309,1,0,1,1,0,2019,1,0
665,3333,21,0,0,0,0,0,2021,0,0
666,11475,3,1,1,0,0,0,2018,2,0
667,297,39,0,0,1,0,0,2020,0,0
668,295,253,0,0,1,1,0,2018,1,0
669,296,66,1,1,1,0,0,2020,2,0
670,11436,76,1,0,1,0,0,2020,0,0
671,3331,130,1,0,1,0,0,2020,0,0
672,11419,39,1,1,0,0,1,2020,2,0
673,190,153,1,1,1,0,0,2020,2,0
674,3330,16,0,0,0,0,0,2000,0,0
675,16911,23,1,0,1,0,1,2020,0,0
676,11412,69,0,0,1,1,0,2020,1,0
677,11413,87,0,0,1,1,0,2020,1,0
678,9,36,1,1,0,0,0,2019,2,0
679,14963,152,0,0,0,0,0,0,0,0
680,3329,369,1,0,1,1,0,2020,1,0
681,189,48,1,1,1,1,0,2020,2,0
682,16910,185,0,0,1,1,0,2020,1,0
683,3319,72,1,1,1,1,0,2020,2,0
684,3314,126,1,1,0,0,0,2020,2,0
685,3317,50,1,1,0,0,1,2020,2,0
686,3315,89,1,1,1,0,0,2020,2,0
687,11311,72,1,1,1,1,0,2020,2,0
688,17005,15,1,1,0,0,1,2019,2,0
689,3306,82,0,0,1,1,0,2020,1,0
690,3304,64,1,1,1,0,0,2020,2,0
691,3308,14,0,0,0,0,0,2020,0,0
692,3299,30,0,0,0,0,0,2021,0,0
693,11271,143,1,1,1,0,0,2020,2,0
694,282,116,1,1,1,0,1,2020,2,0
695,3295,120,1,1,1,1,0,2020,2,0
696,3292,50,1,0,1,0,0,2020,0,0
697,3293,51,1,0,0,0,0,2020,0,0
698,3286,77,0,0,0,0,0,2021,0,0
699,3287,82,0,0,1,0,0,2021,0,0
700,3288,82,0,0,1,0,0,2021,0,0
701,3289,208,1,0,1,1,0,2020,1,0
702,3285,274,1,0,1,1,0,2020,1,0
703,3282,40,1,1,1,0,0,2019,2,0
704,186,181,1,0,1,1,0,2020,1,0
705,11208,162,1,0,1,1,0,2020,1,0
706,279,13,1,1,1,0,0,2019,2,0
707,11205,311,1,0,1,1,0,2020,1,0
708,3267,71,1,1,0,0,0,2019,2,0
709,11188,52,1,1,1,0,1,2020,2,0
710,11185,36,1,1,1,1,0,2020,2,0
711,3266,91,1,1,1,1,0,2020,2,0
712,276,28,1,0,1,1,0,2019,1,0
713,3263,126,0,0,1,0,0,2021,0,0
714,3265,155,0,0,1,1,0,2020,1,0
715,3261,312,1,0,1,1,0,2020,1,0
716,3260,343,1,1,1,0,0,2005,2,0
717,12,182,1,1,1,1,0,2020,2,0
718,11076,392,1,1,1,0,0,2020,2,0
719,3259,14,0,0,0,0,0,2020,0,0
720,3254,200,1,0,1,1,0,2020,1,0
721,3249,177,0,0,1,1,0,2019,1,0
722,3251,271,1,1,1,1,0,2020,2,0
723,3241,67,1,1,1,0,0,2019,2,0
724,14183,42,0,0,0,0,0,2019,0,0
725,274,410,1,1,1,0,0,2019,2,0
726,3236,180,0,0,1,0,0,0,0,0
727,3235,180,0,0,1,0,0,0,0,0
728,3234,200,1,0,1,1,0,2020,1,0
729,3233,180,0,0,1,0,0,0,0,0
730,3231,95,0,0,0,0,0,2019,0,0
731,271,135,0,0,1,1,0,2019,1,0
732,3221,324,1,1,1,0,0,2022,2,0
733,3211,77,1,1,1,0,0,2020,2,0
734,3217,265,0,0,1,1,0,2020,1,0
735,3212,507,0,0,1,1,0,2016,1,0
736,11048,15,1,1,1,1,0,2018,2,0
737,266,100,1,0,1,1,0,2019,1,0
738,3190,240,1,1,0,0,0,2019,2,0
739,3194,144,0,0,1,1,0,2020,1,0
740,3195,216,1,0,1,0,0,2020,0,0
741,3197,87,0,0,1,1,0,2017,1,0
742,3193,66,1,1,1,0,0,2019,2,0
743,3184,243,1,1,1,0,0,2019,2,0
744,11025,12,1,1,1,1,1,2018,2,0
745,3187,61,1,0,0,0,0,2019,0,0
746,3185,138,0,0,1,1,0,2020,1,0
747,11023,37,1,1,0,0,0,2021,2,0
748,11022,3,0,0,0,0,1,2019,0,0
749,256,153,1,1,1,1,0,2019,2,0
750,3180,151,1,0,1,1,0,2019,1,0
751,14167,249,1,0,1,1,0,2018,1,0
752,252,93,1,1,1,0,0,2019,2,0
753,251,96,1,1,1,1,0,2019,2,0
754,3177,2,1,1,0,0,0,2011,2,0
755,248,85,1,1,0,0,0,2019,2,0
756,3169,42,0,0,0,0,0,2011,0,0
757,3162,61,1,1,1,0,0,2018,2,0
758,3161,61,1,1,1,0,0,2018,2,0
759,10944,56,1,1,0,0,0,2019,2,0
760,3158,212,0,0,1,1,0,2019,1,0
761,10915,3,0,0,0,0,0,2018,0,0
762,10917,38,1,1,0,0,0,2019,2,0
763,10931,75,0,0,1,0,0,2020,0,0
764,8,135,1,1,1,0,0,2019,2,0
765,3154,193,0,0,1,1,0,2019,1,0
766,3152,212,0,0,1,1,0,2019,1,0
767,3157,387,1,0,1,1,0,2020,1,0
768,10897,196,1,1,1,1,0,2019,2,0
769,235,58,0,0,1,1,0,2019,1,0
770,14166,24,1,1,0,0,1,2019,2,0
771,3149,82,1,1,1,0,0,2019,2,0
772,3147,389,1,0,1,0,0,2015,0,0
773,3146,201,1,1,1,1,0,2019,2,0
774,232,178,1,1,1,1,0,2013,2,0
775,234,91,1,0,0,0,0,2020,0,0
776,10879,25,1,0,1,0,0,2019,0,0
777,10878,159,1,1,1,1,0,2019,2,0
778,14173,184,1,0,1,1,0,2020,1,0
779,10872,42,1,1,1,1,0,2019,2,0
780,3134,63,1,1,0,0,0,2019,2,0
781,3127,83,1,1,1,0,1,2019,2,0
782,16984,450,0,0,1,0,0,2020,0,0
783,10859,406,1,0,1,1,0,2020,1,0
784,3126,144,0,0,1,1,0,2020,1,0
785,3123,554,1,1,1,0,0,2020,2,0
786,224,25,1,1,0,0,0,2019,2,0
787,3119,63,0,0,1,1,0,2020,1,0
788,221,294,0,0,1,0,0,2019,0,0
789,10804,56,1,1,1,0,0,2020,2,0
790,10819,176,0,0,1,1,0,2021,1,0
791,3115,20,0,0,1,0,0,2018,0,0
792,10752,16,0,0,1,0,0,2019,0,0
793,3114,252,1,1,1,1,0,2019,2,0
794,219,35,1,1,1,0,0,2020,2,0
795,218,22,1,1,1,0,0,2019,2,0
796,216,53,1,1,1,0,0,2019,2,0
797,3106,41,0,0,1,0,0,2018,0,0
798,3102,48,1,1,0,0,0,2019,2,0
799,3101,65,1,1,1,0,0,2019,2,0
800,3100,234,1,1,1,1,0,2020,2,0
801,214,23,1,1,0,0,0,2019,2,0
802,10624,88,1,1,1,0,0,2019,2,0
803,10614,47,0,0,1,1,0,2019,1,0
804,10626,217,1,0,1,1,0,2019,1,0
805,3095,41,1,0,1,1,0,2020,1,0
806,211,76,1,1,0,0,0,2019,2,0
807,13781,41,0,0,0,0,0,2020,0,0
808,10593,59,0,0,1,1,0,2019,1,0
809,3092,17,1,1,0,0,0,2019,2,0
810,3089,142,1,0,1,0,0,2019,0,0
811,3090,189,1,1,1,1,0,2020,2,0
812,13787,44,1,1,0,0,0,2019,2,0
813,208,205,1,0,1,1,0,2019,1,0
814,3083,121,1,0,1,1,0,2005,1,0
815,3074,267,0,0,1,0,0,2019,0,0
816,3075,91,1,1,1,1,0,2019,2,0
817,3077,263,1,1,1,1,0,2019,2,0
818,3070,188,1,0,1,1,0,2019,1,0
819,3064,200,1,0,1,1,0,2020,1,0
820,161,165,1,1,0,0,0,2019,2,0
821,3055,36,1,1,0,0,0,2019,2,0
822,10480,60,1,1,1,0,1,2020,2,0
823,3048,216,1,0,1,1,0,2017,1,0
824,13786,84,1,1,1,0,0,2020,2,0
825,3042,267,1,1,0,0,0,2019,2,0
826,149,65,1,1,0,0,0,2020,2,0
827,3036,102,0,0,1,1,0,2019,1,0
828,10465,39,1,1,0,0,0,2019,2,0
829,17873,124,0,0,1,0,0,2019,0,0
830,10421,25,0,0,0,0,0,2019,0,0
831,3034,198,1,0,1,1,0,2019,1,0
832,13275,9,1,1,0,0,0,2019,2,0
833,3029,31,1,1,0,0,0,2019,2,0
834,155,9,1,0,1,0,0,2019,0,0
835,3028,102,1,1,0,0,0,2018,2,0
836,10359,50,1,1,1,1,0,2019,2,0
837,203,297,1,0,1,1,0,2019,1,0
838,3024,65,0,0,0,0,0,2008,0,0
839,3022,759,1,1,1,1,0,2019,2,0
840,10201,5,0,0,0,0,1,2020,0,0
841,3023,106,0,0,1,1,0,2020,1,0
842,10207,169,1,0,1,1,0,2004,1,0
843,10176,87,1,1,1,0,0,2019,2,0
844,3021,2,0,0,0,0,0,2019,0,0
845,3011,45,0,0,0,0,0,0,0,0
846,3009,75,1,0,1,1,0,2019,1,0
847,3012,20,0,0,0,0,0,2014,0,0
848,10173,5,1,1,0,0,0,2019,2,0
849,16932,326,0,0,1,0,0,2017,0,0
850,3018,52,1,1,1,0,1,2020,2,0
851,3020,76,1,0,1,1,0,2018,1,0
852,197,57,1,1,1,1,1,2019,2,0
853,10163,11,1,1,0,0,1,2019,2,0
854,3006,252,0,0,1,0,0,2019,0,0
855,10155,134,1,1,1,0,0,2019,2,0
856,10162,33,1,1,1,1,0,2010,2,0
857,3001,142,1,1,1,0,0,2019,2,0
858,10102,151,1,1,1,0,0,2019,2,0
859,3002,45,1,1,0,0,0,2019,2,0
860,194,25,0,0,0,0,0,2022,0,0
861,10093,109,1,1,1,1,0,2019,2,0
862,10088,65,1,1,1,0,1,2012,2,0
863,16966,143,1,0,1,1,0,2019,1,0
864,2997,182,0,0,1,0,0,2019,0,0
865,193,183,1,0,1,1,0,2018,1,0
866,10078,63,1,0,1,1,0,2000,1,0
867,10076,178,0,0,1,0,0,2019,0,0
868,10057,70,1,1,1,0,0,2018,2,0
869,2995,249,1,0,1,1,0,2019,1,0
870,2996,133,1,1,1,0,1,2019,2,0
871,10049,262,1,0,1,1,0,2019,1,0
872,10054,191,0,0,1,1,0,2019,1,0
873,16921,44,0,0,1,1,0,2019,1,0
874,10043,69,1,1,1,1,0,2020,2,0
875,2991,87,1,1,1,1,0,2019,2,0
876,2990,177,0,0,1,1,0,2019,1,0
877,2988,102,0,0,1,1,0,2019,1,0
878,9978,6,1,1,0,0,0,2019,2,0
879,12855,100,1,1,1,0,0,2019,2,0
880,2984,100,0,0,1,1,0,2019,1,0
881,2980,13,1,1,0,0,0,2019,2,0
882,2971,72,0,0,1,1,0,2019,1,0
883,2976,19,0,0,0,0,0,2018,0,0
884,2973,292,1,0,1,1,0,2019,1,0
885,2969,280,1,0,1,0,0,2021,0,0
886,2962,121,1,0,0,0,0,2018,0,0
887,2961,335,1,1,1,0,0,2019,2,0
888,2957,55,1,1,1,0,1,2017,2,0
889,2955,29,1,1,0,0,0,2019,2,0
890,2953,69,1,0,1,0,0,2018,0,0
891,2952,213,1,0,1,0,0,2020,0,0
892,177,4,1,1,0,0,0,2018,2,0
893,175,73,1,1,1,1,0,2014,2,0
894,9716,103,1,1,0,0,0,2019,2,0
895,2949,73,1,1,1,0,0,2019,2,0
896,2947,370,0,0,1,0,0,2021,0,0
897,171,114,1,1,1,1,0,2020,2,0
898,169,99,1,1,0,0,0,2019,2,0
899,2939,119,0,0,1,1,0,2019,1,0
900,2938,294,1,0,1,1,0,2019,1,0
901,2941,35,0,0,0,0,0,2018,0,0
902,2940,150,1,1,1,1,0,2019,2,0
903,2930,166,1,0,1,1,0,2019,1,0
904,9601,306,1,1,1,0,1,2019,2,0
905,9600,27,0,0,1,1,1,2019,0,0
906,2928,289,1,0,0,0,0,2020,0,0
907,2927,99,0,0,1,0,0,2018,0,0
908,9596,13,1,0,1,0,0,2018,0,0
909,160,156,1,0,1,1,0,2019,1,0
910,2920,202,1,1,1,0,0,2020,2,0
911,2917,56,1,1,1,0,0,2020,2,0
912,2916,94,0,0,1,1,0,2019,1,0
913,9584,74,1,1,1,1,0,2019,2,0
914,13776,15,1,0,1,0,1,2019,0,0
915,2912,34,1,0,0,0,0,2020,0,0
916,283,197,0,0,1,1,0,2020,1,0
